"Mes","Año","Empresa","Tarifa","Abonados","Ventas","Ingreso sin CVG","Ingreso con CVG","Precio Medio sin CVG","Precio Medio con CVG","Trimestre","Sistema","Trimestral"
"Diciembre ","2025","CNFL","Alumbrado Público","","5221777.24","192784383.98","192784383.98","36.92","36.92","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Residencial","49685","7043995","579458200","641552600","82.26","91.08","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Residencial","108073","19937840","1546824000","1633719000","77.58","81.94","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEGUANACASTE","Residencial","82147","26467370","1863072000","2180751000","70.39","82.39","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEALFARORUIZ","Residencial","6356","1543944","83966910","106147200","54.38","68.75","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Residencial","539680","130242900","8301342000","10632540000","63.74","81.64","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Promocional","30","539153","36758295","47081765","68.18","87.33","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Residencial","85454","22693980","1535907000","1861652000","67.68","82.03","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Promocional","30","539153","36758295","47081765","68.18","87.33","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Preferencial","688","884066","43117180","53931760","48.77","61","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Preferencial","6788","9098918","628635300","812922400","69.09","89.34","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Preferencial","946","3852251","205620580","249203390","53.38","64.69","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Preferencial","516","133416.9","16324800","18075320","122.36","135.48","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Preferencial","3233","13508572","647351700","829115400","47.92","61.38","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Media tensión b","398","125399600","6271848100","7879003100","50.01","62.83","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Preferencial","12171","27477223.9","1541049560","1963248270","56.08","71.45","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Residencial","805871","154259400","11188160000","14468880000","72.53","93.8","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Residencial","95112","22556540","1187100000","1587305000","52.63","70.37","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Residencial","1772378","384745969","26285830110","33112546800","68.32","86.06","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Ventas al servicio de Distribución","","13938090","464583403.74","778663245.71","33.33","55.87","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","COOPESANTOS","Ventas al servicio de Distribución","","5257399","162107789.91","271700797.22","30.83","51.68","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","COOPELESCA","Ventas al servicio de Distribución","","7438936","171439146.7","287344120.95","23.05","38.63","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","COOPEGUANACASTE","Ventas al servicio de Distribución","","28847040","815621945.6","1367028056","28.27","47.39","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","COOPEALFARORUIZ","Ventas al servicio de Distribución","","2268002","64724805.57","108482312.15","28.54","47.83","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL","","741330268.35","20622304268.19","34561853664.21","27.82","46.62","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","ICE","Ventas a ICE distribución y a la CNFL","","446361490.35","12296588713","20608411120.62","27.55","46.17","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","CNFL","Ventas a ICE distribución y a la CNFL","","294968778","8325715555.19","13953442543.59","28.23","47.3","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","Usuarios Directos","Usuarios Directos","17","40530900","821241700","1273301000","20.26","31.42","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Residencial modalidad prepago","5","498.95","34749.69","36701.03","69.65","73.56","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Residencial modalidad prepago","5","498.95","34749.69","36701.03","69.65","73.56","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Residencial horaria","9892","5744454","326013397.7","417614735","56.75","72.7","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Residencial horaria","24","14395","967257.7","1172435","67.19","81.45","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Residencial horaria","182","119967","10084240","13040600","84.06","108.7","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Residencial horaria","9686","5610092","314961900","403401700","56.14","71.91","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Media tensión b","8","7345037","388634200","464292000","52.91","63.21","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Media tensión b","229","71192380","3436555000","4444254000","48.27","62.43","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Media tensión b","22","13681790","681076200","802440700","49.78","58.65","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Media tensión b","17","6677533","418035700","442104400","62.6","66.21","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Comercios y servicios","116887","93476127","8253401240","10673575600","88.29","114.19","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Comercios y servicios","11717","16845198","1189557457.7","1441780235","70.62","85.59","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Comercios y servicios","3920","2043632.9","289245900","320255900","141.54","156.71","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Comercios y servicios","14835","18312062","1579621900","1668717500","86.26","91.13","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEGUANACASTE","Comercios y servicios","19906","25709207","2021340600","2366489000","78.62","92.05","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEALFARORUIZ","Comercios y servicios","2011","877198","57636070","72827910","65.7","83.02","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Comercios y servicios","76522","97610750","8373700000","10724271000","85.79","109.87","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Alumbrado Público","","21534346.21","1035436713.05","1035436713.05","48.08","48.08","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Alumbrado Público","","1280917.41","70434676.59","70434676.59","54.99","54.99","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Alumbrado Público","","12338406.72","629762600.71","629762600.71","51.04","51.04","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Alumbrado Público","","647615.34","35003609.24","35003609.24","54.05","54.05","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Alumbrado Público","","396315","15127062.3","15127062.3","38.17","38.17","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Alumbrado Público","","897245.49","44198830.5","44198830.5","49.26","49.26","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEGUANACASTE","Alumbrado Público","","717378.67","46400052.38","46400052.38","64.68","64.68","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEALFARORUIZ","Alumbrado Público","","34690.34","1725497.35","1725497.35","49.74","49.74","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Comercios y servicios","16309","11281675","786458800","1006834500","69.71","89.25","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Ventas al servicio de Distribución","","50517085","1395107182.75","2338280643.23","27.62","46.29","IV Trimestre","Generacion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Comercios y servicios","262107","266155849.9","22550961967.7","28274751645","84.73","106.23","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEALFARORUIZ","Industrial","25","237974","15063040.8","19042034","63.3","80.02","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Media tensión b","122","26502860","1347547000","1725912000","50.85","65.12","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Media tensión a","802","85504406.4","5128871240","6503071450","59.98","76.06","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Media tensión a","29","8307016","471960300","530210800","56.81","63.83","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Media tensión a","547","51215060","2967860000","3838157000","57.95","74.94","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Media tensión a","6","610747","35389790","42895460","57.95","70.23","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Media tensión a","8","990112.8","81097160","89792880","81.91","90.69","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Media tensión a","2","770130.6","54106990","57150310","70.26","74.21","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Media tensión a","210","23611340","1518457000","1944865000","64.31","82.37","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Industrial","7309","30827575.72","2610347133.8","3198325834","84.68","103.75","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","JASEC","Industrial","550","5486163","400502660","479978670","73","87.49","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ICE","Industrial","2942","9831598","899869200","1163738100","91.53","118.37","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","ESPH","Industrial","341","4139027","267047870","323697440","64.52","78.21","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPESANTOS","Industrial","198","185299.12","28405220","31450250","153.29","169.73","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPELESCA","Industrial","1672","4531467","407027500","430173500","89.82","94.93","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","COOPEGUANACASTE","Industrial","230","843966.6","77712653","90981540","92.08","107.8","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","CNFL","Industrial","1351","5572081","514718990","659264300","92.37","118.32","IV Trimestre","Distribucion","2025 4"
"Diciembre ","2025","TOTAL NACIONAL","Ventas al servicio de Distribución","","108266552","3073584274.27","5151499175.26","28.39","47.58","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","CNFL","Alumbrado Público","","5059524.13","187456036.26","187456036.26","37.05","37.05","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPESANTOS","Residencial","49540","7260680","600674900","665042900","82.73","91.6","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPELESCA","Residencial","107733","19373950","1497034000","1581130000","77.27","81.61","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPEGUANACASTE","Residencial","81988","25180180","1754625000","2053790000","69.68","81.56","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPEALFARORUIZ","Residencial","6323","1474501","80362580","101590800","54.5","68.9","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","CNFL","Residencial","538804","128572200","8166967000","10460420000","63.52","81.36","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Promocional","30","536510","36173850","46333225","67.42","86.36","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","ESPH","Residencial","85367","22073740","1490124000","1806198000","67.51","81.83","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","CNFL","Promocional","30","536510","36173850","46333225","67.42","86.36","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","JASEC","Preferencial","716","1046172","52502670","65175730","50.19","62.3","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","ICE","Preferencial","6789","9760676","678715700","877684500","69.54","89.92","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","ESPH","Preferencial","940","3941989","208547780","252750610","52.9","64.12","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPESANTOS","Preferencial","516","168887.6","21003070","23255200","124.36","137.7","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","CNFL","Preferencial","3233","13712740","661774000","847587200","48.26","61.81","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Media tensión b","398","135894174","6583419000","8332628600","48.45","61.32","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Preferencial","12194","28630464.6","1622543220","2066453240","56.67","72.18","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","ICE","Residencial","804540","156400200","11341230000","14666830000","72.51","93.78","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","JASEC","Residencial","94923","22655140","1192404000","1594396000","52.63","70.38","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Residencial","1769218","382990591","26123421480","32929397700","68.21","85.98","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","ESPH","Ventas al servicio de Distribución","","20404648","629467098.61","1055018885.63","30.85","51.7","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","COOPESANTOS","Ventas al servicio de Distribución","","2556074","101376761.68","169911393.22","39.66","66.47","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","COOPELESCA","Ventas al servicio de Distribución","","1","14643434.36","24542350.52","14643434.36","24542350.52","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","COOPEGUANACASTE","Ventas al servicio de Distribución","","23973478","707010446.8","1184987589.03","29.49","49.43","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","COOPEALFARORUIZ","Ventas al servicio de Distribución","","1611841","48926067.68","82002606.81","30.35","50.88","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Ventas a ICE distribución y a la CNFL","","722176522.52","20245025994.2","33929554649.82","28.03","46.98","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","ICE","Ventas a ICE distribución y a la CNFL","","440212951.52","12210192191.4","20463622755.48","27.74","46.49","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","CNFL","Ventas a ICE distribución y a la CNFL","","281963571","8034833802.8","13465931894.34","28.5","47.76","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","Usuarios Directos","Usuarios Directos","17","44099190","857758700","1334559000","19.45","30.26","IV Trimestre","Generacion","2025 4"
"Noviembre ","2025","TOTAL NACIONAL","Residencial modalidad prepago","5","490.24","34335.23","36263.32","70.04","73.97","IV Trimestre","Distribucion","2025 4"
"Noviembre ","2025","COOPELESCA","Residencial modalidad prepago","5","490.24","34335.23","36263.32","70.04","73.97","IV Trimestre","Distribucion","2025 4"
